Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,304.20,311.00,302.61,307.65,2886800,307.65
2008-12-30,300.80,306.81,298.71,303.11,3843500,303.11
2008-12-29,300.22,301.38,291.58,297.42,3701900,297.42
2008-12-26,304.07,305.26,298.31,300.36,1959100,300.36
2008-12-24,301.48,306.34,298.38,302.95,1921500,302.95
2008-12-23,300.43,303.31,296.67,298.02,3777700,298.02
2008-12-22,308.56,309.50,290.63,297.11,3917600,297.11
2008-12-19,310.99,317.79,309.00,310.17,5612600,310.17
2008-12-18,316.70,320.35,309.11,310.28,4763500,310.28
2008-12-17,318.64,322.13,312.42,315.24,5789700,315.24
2008-12-16,314.52,329.50,311.27,325.28,7059600,325.28
2008-12-15,314.01,318.49,305.11,310.67,6737900,310.67
2008-12-12,295.71,316.47,294.00,315.76,5722100,315.76
2008-12-11,304.17,312.88,297.80,300.22,6179200,300.22
2008-12-10,309.24,314.90,304.51,308.82,5237000,308.82
2008-12-09,297.69,318.00,297.01,305.97,6889900,305.97
2008-12-08,289.99,309.44,282.00,302.11,8144300,302.11
2008-12-05,271.02,284.24,264.02,283.99,6521200,283.99
2008-12-04,276.53,283.49,268.77,274.34,4886600,274.34
2008-12-03,269.85,281.36,265.34,279.43,5904800,279.43
2008-12-02,269.73,277.78,262.58,275.11,5839700,275.11
2008-12-01,286.68,287.38,265.98,265.99,5711200,265.99
2008-11-28,290.58,296.45,288.28,292.96,2565500,292.96
2008-11-26,280.28,295.46,276.20,292.09,6356600,292.09
2008-11-25,268.68,286.66,267.32,282.05,10771200,282.05
2008-11-24,269.26,269.95,249.01,257.44,10054700,257.44
2008-11-21,262.51,269.37,247.30,262.43,10244500,262.43
2008-11-20,274.89,282.94,259.04,259.56,9779400,259.56
2008-11-19,295.39,300.19,278.58,280.18,7834600,280.18
2008-11-18,301.57,303.73,285.35,297.42,8346100,297.42
2008-11-17,303.00,310.16,297.95,300.12,7543800,300.12
2008-11-14,303.25,324.99,302.56,310.02,9517100,310.02
2008-11-13,291.77,313.00,280.00,312.08,13234700,312.08
2008-11-12,302.05,312.49,287.76,291.00,10051100,291.00
2008-11-11,308.69,316.30,300.52,311.46,10146600,311.46
2008-11-10,328.00,329.44,309.47,318.78,8080100,318.78
2008-11-07,333.12,341.15,325.33,331.14,4681300,331.14
2008-11-06,339.97,344.42,325.81,331.22,8574800,331.22
2008-11-05,362.15,368.88,341.31,342.24,6946500,342.24
2008-11-04,353.44,372.36,345.50,366.94,7349900,366.94
2008-11-03,357.58,362.99,341.43,346.49,5954500,346.49
2008-10-31,356.16,371.96,354.27,359.36,7423300,359.36
2008-10-30,368.46,372.00,358.37,359.69,7988900,359.69
2008-10-29,365.79,371.00,352.37,358.00,9756600,358.00
2008-10-28,339.05,369.31,328.51,368.75,8105400,368.75
2008-10-27,334.81,343.00,325.60,329.49,6200700,329.49
2008-10-24,326.47,350.47,324.74,339.29,7359000,339.29
2008-10-23,353.65,358.00,337.99,352.32,6478900,352.32
2008-10-22,356.99,369.69,344.00,355.67,6560000,355.67
2008-10-21,372.39,383.78,362.00,362.75,5782000,362.75
2008-10-20,379.75,380.98,359.59,379.32,6753400,379.32
2008-10-17,378.96,386.00,363.55,372.54,14249200,372.54
2008-10-16,332.76,356.50,309.44,353.02,16239700,353.02
2008-10-15,354.65,359.00,338.83,339.17,6721400,339.17
2008-10-14,393.53,394.50,357.00,362.71,7784800,362.71
2008-10-13,355.79,381.95,345.75,381.02,8905500,381.02
2008-10-10,313.16,341.89,310.30,332.00,10597800,332.00
2008-10-09,344.52,348.57,321.67,328.98,8075000,328.98
2008-10-08,330.16,358.99,326.11,338.11,11826400,338.11
2008-10-07,373.33,374.98,345.37,346.01,11054400,346.01
2008-10-06,373.98,375.99,357.16,371.21,11220600,371.21
2008-10-03,397.35,412.50,383.07,386.91,7992900,386.91
2008-10-02,409.79,409.98,386.00,390.49,5984900,390.49
2008-10-01,411.15,416.98,403.10,411.72,6234800,411.72
2008-09-30,395.98,425.08,392.32,400.52,3086300,400.52
2008-09-29,419.51,423.51,380.71,381.00,10762900,381.00
